;participant;condition;reversed;size;colour;phase;dimension1mean;dimension2mean;dimension1sd;dimension1sd.1;duration
320;N104;1;0;5;1;3;-2.010.913.051;2.937.324;2.548.149;1.080.436;413
321;N104;1;0;5;3;3;-1.499.281.185;292.394;7.132.834;4.083.505;631
322;N104;1;0;5;5;3;-1.821.011.897;2.874.405;7.301.611;1.286.159;373
323;N105;1;0;1;0;1;1.058.278.418;0;7.490.656;0;316
324;N105;1;0;2;0;1;0.915652731;0;9.545.899;0;311
325;N105;1;0;3;0;1;0.882496571;0;3.277.056;0;207
326;N105;1;0;4;0;1;0.996984474;0;1.176.017;0;387
327;N105;1;0;5;0;1;1.087.680.773;0;1.367.348;0;275
328;N105;1;0;1;1;2;0.843616225;0;1.040.857;0;668
329;N105;1;0;1;3;2;0.795237408;0;6.207.997;0;861
330;N105;1;0;1;5;2;0.977960224;0;1.355.343;0;485
331;N105;1;0;3;1;2;0.56223272;0;5.240.936;0;469
332;N105;1;0;3;3;2;0.75368119;0;5.179.277;0;503
333;N105;1;0;3;5;2;0.503359529;0;9.117.401;0;737
334;N105;1;0;5;1;2;0.945980409;0;4.293.495;0;232
335;N105;1;0;5;3;2;1.009.697.416;0;1.136.123;0;413
336;N105;1;0;5;5;2;0.839544176;0;925.319;0;582
337;N105;1;0;1;1;3;0.933869294;2.982.231;7.988.972;1.483.384;383
338;N105;1;0;1;3;3;0.996961367;3.112.851;9.020.569;169.724;861
339;N105;1;0;1;5;3;1.174.846.984;3.021.262;9.264.601;9.356.595;485
340;N105;1;0;3;1;3;1.235.580.062;3.370.875;9.074.587;2.539.796;185
341;N105;1;0;3;3;3;1.588.843.157;3.175.007;9.127.464;1.471.456;740
342;N105;1;0;3;5;3;1.440.006.992;3.114.125;887.773;2.529.915;1461
343;N105;1;0;5;1;3;1.032.631.968;3.568.669;5.063.802;1.564.318;113
344;N105;1;0;5;3;3;120.958.491;3.559.786;4.814.497;2.319.547;305
345;N105;1;0;5;5;3;1.075.419.464;3.592.462;5.458.309;2.615.865;1516
346;N201;2;0;1;0;1;-0.722894415;0;1.649.853;0;13
347;N201;2;0;2;0;1;0.650080266;0;2.099.842;0;64
348;N201;2;0;3;0;1;0.096483822;0;3.830.263;0;57
